;id;Lat;Lng;
07:48:55.437116;177;-44.12326717849557;76.46087644062308;IERS2010
07:49:11.104680;178;-44.6293069208016;77.61693267910867;IERS2010
07:49:26.757825;179;-45.121708610273735;78.79328875050939;IERS2010
07:49:42.409052;180;-45.600297156353264;79.99069898737768;IERS2010
07:49:58.041690;181;-46.06424087309303;81.20824316347816;IERS2010
07:50:13.672127;182;-46.51334873192176;82.44656383557597;IERS2010
07:50:29.240623;183;-46.945648774498395;83.70108430506552;IERS2010
07:50:44.777363;184;-47.36164596147269;84.97395075238983;IERS2010
07:51:00.343465;185;-47.76251709277209;86.27002155741306;IERS2010
07:51:15.904749;186;-48.146878897229925;87.58627663361732;IERS2010
07:51:31.471616;187;-48.514426862991044;88.92293477304203;IERS2010
07:51:47.041451;188;-48.86490415902727;90.28044931049551;IERS2010
07:52:02.576179;189;-49.197224488701714;91.65584392444951;IERS2010
07:52:18.154529;190;-49.511361554974464;93.05014062705227;IERS2010
07:52:33.688497;191;-49.80646021093666;94.46061103593118;IERS2010
07:52:49.243122;192;-50.082900682544974;95.89031516096944;IERS2010
07:53:04.766403;193;-50.339405826620535;97.33378084567757;IERS2010
07:53:20.276060;194;-50.57596546970873;98.79166178487391;IERS2010
07:53:35.783219;195;-50.79240442357463;100.26389499570928;IERS2010
07:53:51.285139;196;-50.98836599355855;101.74914810336132;IERS2010
07:54:06.827584;197;-51.16401692121522;103.25041649202876;IERS2010
07:54:22.329049;198;-51.318223138901566;104.75920040350816;IERS2010
07:54:37.863402;199;-51.451444104361265;106.28109317132811;IERS2010
07:54:53.402476;200;-51.56315621284284;107.81231763828275;IERS2010
07:55:08.909063;201;-51.65290638771384;109.34701997571713;IERS2010
07:55:24.445963;202;-51.720920826934794;110.88985899567332;IERS2010
07:55:39.987585;203;-51.766941749268376;112.438036989585;IERS2010
07:55:55.510307;204;-51.790803060283004;113.98637234038083;IERS2010
07:56:11.038336;205;-51.79254464331538;115.53629017023334;IERS2010
07:56:26.563679;206;-51.77216618085949;117.08466450042604;IERS2010
07:56:42.207893;207;-51.72926928672288;118.6435314715019;IERS2010
07:56:57.848040;208;-51.664045557698564;120.19773486834247;IERS2010
07:57:13.501176;209;-51.57653770495366;121.74739365563788;IERS2010
07:57:29.150769;210;-51.466891691411156;123.29058124541551;IERS2010
07:57:44.805213;211;-51.33532005687205;124.82534661754647;IERS2010
07:58:00.465641;212;-51.18202071366174;126.35051411777373;IERS2010
07:58:16.108933;213;-51.00743568434765;127.86313927665147;IERS2010
07:58:31.776809;214;-50.81134953945547;129.36603401165496;IERS2010
07:58:47.432093;215;-50.59462536584588;130.85362112453157;IERS2010
07:59:03.092091;216;-50.35733587090548;132.32683343105256;IERS2010
07:59:18.758883;217;-50.099873848378415;133.78440074791015;IERS2010
07:59:34.434072;218;-49.822361984060215;135.2266727881404;IERS2010
07:59:50.118525;219;-49.52544952962011;136.65136243373846;IERS2010
08:00:05.805270;220;-49.20937795223575;138.05849280992118;IERS2010
08:00:21.482351;221;-48.8751602932932;139.44493431331486;IERS2010
08:00:37.160467;222;-48.52269281215887;140.8125053242097;IERS2010
08:00:52.826114;223;-48.153052206350836;142.15841038627462;IERS2010
08:01:08.504672;224;-47.76596138184575;143.4849966235478;IERS2010
08:01:24.196300;225;-47.36194662112133;144.79158460385545;IERS2010
08:01:39.891520;226;-46.9416104594142;146.0774266504097;IERS2010
08:01:55.584712;227;-46.50562210733963;147.34176460421628;IERS2010
08:02:11.279717;228;-46.054343296562735;148.58485032251565;IERS2010
08:02:26.979677;229;-45.58816056902453;149.80686721384228;IERS2010
08:02:42.691998;230;-45.10728900328505;151.008429697021;IERS2010
08:02:58.368213;231;-44.61370189822594;152.1859911303156;IERS2010
08:03:14.075571;232;-44.10578684242404;153.34466908445125;IERS2010
08:03:29.768579;233;-43.585539367139376;154.48107256247633;IERS2010
08:03:45.454823;234;-43.05291766811728;155.59659042488306;IERS2010
08:04:01.148618;235;-42.508020762315944;156.69217475797348;IERS2010
08:04:16.751506;236;-41.95461023277673;157.76174610795556;IERS2010
